[Name]
Series 1 at /LINE:Line 1

[Data]
Y [ m ],graphicD95 [ m ]
0.00000000e+00, 7.00077698e+02
2.00200200e-04, 4.07574738e+02
4.00400400e-04, 4.00923004e+02
6.00600615e-04, 4.27974152e+02
8.00800801e-04, 4.37458679e+02
1.00100099e-03, 3.89753326e+02
1.20120123e-03, 2.52166473e+02
1.40140147e-03, 1.76904266e+02
1.60160172e-03, 1.50062973e+02
1.80180196e-03, 1.34159912e+02
2.00200221e-03, 1.21172066e+02
2.20220233e-03, 1.13651680e+02
2.40240246e-03, 1.07625076e+02
2.60260259e-03, 1.05014259e+02
2.80280272e-03, 1.03749817e+02
3.00300284e-03, 1.03454834e+02
3.20320297e-03, 1.03368507e+02
3.40340310e-03, 1.02816711e+02
3.60360323e-03, 1.03661896e+02
3.80380335e-03, 1.04705864e+02
4.00400348e-03, 1.05769112e+02
4.20420384e-03, 1.06871132e+02
4.40440420e-03, 1.08050095e+02
4.60460456e-03, 1.10218697e+02
4.80480492e-03, 1.12385796e+02
5.00500528e-03, 1.14853622e+02
5.20520564e-03, 1.17791977e+02
5.40540600e-03, 1.21140533e+02
5.60560636e-03, 1.24847878e+02
5.80580672e-03, 1.28985352e+02
6.00600708e-03, 1.32223312e+02
6.20620744e-03, 1.35077942e+02
6.40640780e-03, 1.38160645e+02
6.60660816e-03, 1.41504501e+02
6.80680852e-03, 1.45149918e+02
7.00700888e-03, 1.48868439e+02
7.20720924e-03, 1.52200562e+02
7.40740960e-03, 1.55937485e+02
7.60760996e-03, 1.60165619e+02
7.80781033e-03, 1.64824265e+02
8.00801069e-03, 1.69994598e+02
8.20821058e-03, 1.74887299e+02
8.40841047e-03, 1.79099548e+02
8.60861037e-03, 1.83674149e+02
8.80881026e-03, 1.88685669e+02
9.00901016e-03, 1.94210938e+02
9.20921005e-03, 2.00347473e+02
9.40940995e-03, 2.07487061e+02
9.60960984e-03, 2.10645859e+02
9.80980974e-03, 2.13727158e+02
1.00100096e-02, 2.17148636e+02
1.02102095e-02, 2.21200897e+02
1.04104094e-02, 2.25767136e+02
1.06106093e-02, 2.30910660e+02
1.08108092e-02, 2.36028778e+02
1.10110091e-02, 2.41253815e+02
1.12112090e-02, 2.47183228e+02
1.14114089e-02, 2.54006439e+02
1.16116088e-02, 2.61417267e+02
1.18118087e-02, 2.69644653e+02
1.20120086e-02, 2.78859741e+02
1.22122085e-02, 2.89303925e+02
1.24124084e-02, 3.01097412e+02
1.26126083e-02, 3.13410950e+02
1.28128082e-02, 3.27055298e+02
1.30130081e-02, 3.43034363e+02
1.32132079e-02, 3.62129089e+02
1.34134078e-02, 3.85730011e+02
1.36136077e-02, 4.05556885e+02
1.38138076e-02, 4.17569031e+02
1.40140075e-02, 4.30595215e+02
1.42142074e-02, 4.48105804e+02
1.44144073e-02, 4.67134460e+02
1.46146072e-02, 4.81104919e+02
1.48148071e-02, 4.89696564e+02
1.50150070e-02, 4.96804321e+02
1.52152069e-02, 5.04286774e+02
1.54154068e-02, 5.12137878e+02
1.56156067e-02, 5.21440796e+02
1.58158075e-02, 5.32414734e+02
1.60160083e-02, 5.42969910e+02
1.62162092e-02, 5.54295776e+02
1.64164100e-02, 5.64786011e+02
1.66166108e-02, 5.75371887e+02
1.68168116e-02, 5.84962219e+02
1.70170125e-02, 5.95135193e+02
1.72172133e-02, 6.06645752e+02
1.74174141e-02, 6.17576965e+02
1.76176149e-02, 6.29230103e+02
1.78178158e-02, 6.41690735e+02
1.80180166e-02, 6.55938782e+02
1.82182174e-02, 6.70577576e+02
1.84184182e-02, 6.83374329e+02
1.86186191e-02, 6.94526733e+02
1.88188199e-02, 7.04447510e+02
1.90190207e-02, 7.12137817e+02
1.92192215e-02, 7.18148865e+02
1.94194224e-02, 7.22378479e+02
1.96196232e-02, 7.24720032e+02
1.98198240e-02, 7.27088318e+02
2.00200249e-02, 7.28188843e+02
2.02202257e-02, 7.29333008e+02
2.04204265e-02, 7.33234619e+02
2.06206273e-02, 7.37210510e+02
2.08208282e-02, 7.41262756e+02
2.10210290e-02, 7.45394104e+02
2.12212298e-02, 7.49581299e+02
