[Name]
Series 1 at /LINE:Line 1

[Data]
Y [ m ],graphicD95 [ m^2.2 ]
0.00000000e+00, 7.00077698e+02
2.00200200e-04, 4.07574127e+02
4.00400400e-04, 4.00996002e+02
6.00600615e-04, 4.27948120e+02
8.00800801e-04, 4.37504913e+02
1.00100099e-03, 3.89028625e+02
1.20120123e-03, 2.52740921e+02
1.40140147e-03, 1.77142914e+02
1.60160172e-03, 1.50236923e+02
1.80180196e-03, 1.34298431e+02
2.00200221e-03, 1.21257759e+02
2.20220233e-03, 1.13748787e+02
2.40240246e-03, 1.07724556e+02
2.60260259e-03, 1.05066406e+02
2.80280272e-03, 1.03794777e+02
3.00300284e-03, 1.03509918e+02
3.20320297e-03, 1.03437309e+02
3.40340310e-03, 1.02885506e+02
3.60360323e-03, 1.03724846e+02
3.80380335e-03, 1.04772232e+02
4.00400348e-03, 1.05840172e+02
4.20420384e-03, 1.06947174e+02
4.40440420e-03, 1.08130989e+02
4.60460456e-03, 1.10299370e+02
4.80480492e-03, 1.12479439e+02
5.00500528e-03, 1.14961967e+02
5.20520564e-03, 1.17912354e+02
5.40540600e-03, 1.21258011e+02
5.60560636e-03, 1.24961426e+02
5.80580672e-03, 1.29093582e+02
6.00600708e-03, 1.32324646e+02
6.20620744e-03, 1.35175476e+02
6.40640780e-03, 1.38253571e+02
6.60660816e-03, 1.41591843e+02
6.80680852e-03, 1.45230392e+02
7.00700888e-03, 1.48954880e+02
7.20720924e-03, 1.52290329e+02
7.40740960e-03, 1.56023758e+02
7.60760996e-03, 1.60245880e+02
7.80781033e-03, 1.64896942e+02
8.00801069e-03, 1.70057693e+02
8.20821058e-03, 1.74939621e+02
8.40841047e-03, 1.79151901e+02
8.60861037e-03, 1.83726898e+02
8.80881026e-03, 1.88738754e+02
9.00901016e-03, 1.94264267e+02
9.20921005e-03, 2.00400894e+02
9.40940995e-03, 2.07531479e+02
9.60960984e-03, 2.10644821e+02
9.80980974e-03, 2.13674881e+02
1.00100096e-02, 2.17035965e+02
1.02102095e-02, 2.20994186e+02
1.04104094e-02, 2.25455444e+02
1.06106093e-02, 2.30479477e+02
1.08108092e-02, 2.35377350e+02
1.10110091e-02, 2.40293060e+02
1.12112090e-02, 2.45650299e+02
1.14114089e-02, 2.49735107e+02
1.16116088e-02, 2.54061951e+02
1.18118087e-02, 2.58663086e+02
1.20120086e-02, 2.63685913e+02
1.22122085e-02, 2.69779755e+02
1.24124084e-02, 2.73274933e+02
1.26126083e-02, 1.89299362e+02
1.28128082e-02, 1.32111374e+02
1.30130081e-02, 1.09658554e+02
1.32132079e-02, 9.66192017e+01
1.34134078e-02, 8.78051529e+01
1.36136077e-02, 7.12445068e+01
1.38138076e-02, 5.11993828e+01
1.40140075e-02, 4.26936989e+01
1.42142074e-02, 4.02596893e+01
1.44144073e-02, 3.77455025e+01
1.46146072e-02, 3.47940292e+01
1.48148071e-02, 3.47898026e+01
1.50150070e-02, 3.50028381e+01
1.52152069e-02, 3.52205162e+01
1.54154068e-02, 3.63175888e+01
1.56156067e-02, 4.07935410e+01
1.58158075e-02, 4.78732758e+01
1.60160083e-02, 5.25801582e+01
1.62162092e-02, 5.94459610e+01
1.64164100e-02, 6.86651459e+01
1.66166108e-02, 8.44179840e+01
1.68168116e-02, 1.20030556e+02
1.70170125e-02, 1.38686920e+02
1.72172133e-02, 1.48427689e+02
1.74174141e-02, 1.63221588e+02
1.76176149e-02, 1.84926453e+02
1.78178158e-02, 2.21948517e+02
1.80180166e-02, 3.02187378e+02
1.82182174e-02, 3.40205139e+02
1.84184182e-02, 3.60120758e+02
1.86186191e-02, 3.89551056e+02
1.88188199e-02, 4.21273163e+02
1.90190207e-02, 4.48725067e+02
1.92192215e-02, 4.68222504e+02
1.94194224e-02, 4.89627838e+02
1.96196232e-02, 5.13234192e+02
1.98198240e-02, 5.41374268e+02
2.00200249e-02, 5.70242859e+02
2.02202257e-02, 6.01367004e+02
2.04204265e-02, 6.21727539e+02
2.06206273e-02, 6.44725708e+02
2.08208282e-02, 6.71006348e+02
2.10210290e-02, 7.01464600e+02
2.12212298e-02, 7.37830627e+02
2.14214306e-02, 7.80212097e+02
2.16216315e-02, 8.03747131e+02
2.18218323e-02, 8.25299561e+02
2.20220331e-02, 8.49984192e+02
2.22222339e-02, 8.77462646e+02
2.24224348e-02, 9.08324951e+02
2.26226356e-02, 9.43354858e+02
2.28228364e-02, 9.82527405e+02
2.30230372e-02, 1.02754163e+03
2.32232381e-02, 1.06432776e+03
2.34234389e-02, 1.09249414e+03
2.36236397e-02, 1.12337512e+03
2.38238405e-02, 1.15758875e+03
2.40240414e-02, 1.19575159e+03
2.42242422e-02, 1.23506360e+03
2.44244430e-02, 1.27345447e+03
2.46246438e-02, 1.31637561e+03
2.48248447e-02, 1.36454187e+03
2.50250455e-02, 1.41772119e+03
2.52252463e-02, 1.47894104e+03
2.54254472e-02, 1.52021301e+03
2.56256480e-02, 1.56228137e+03
2.58258488e-02, 1.60872913e+03
2.60260496e-02, 1.66040027e+03
2.62262505e-02, 1.71838977e+03
2.64264513e-02, 1.77317297e+03
2.66266521e-02, 1.82136646e+03
2.68268529e-02, 1.87448108e+03
2.70270538e-02, 1.93344434e+03
2.72272546e-02, 1.97869885e+03
2.74274554e-02, 2.01408850e+03
2.76276562e-02, 2.04481018e+03
2.78278571e-02, 2.07723779e+03
2.80280579e-02, 2.11153931e+03
2.82282587e-02, 2.14790820e+03
2.84284595e-02, 2.18941602e+03
2.86286604e-02, 2.24100830e+03
2.88288612e-02, 2.29712231e+03
2.90290620e-02, 2.35893799e+03
2.92292628e-02, 2.42990234e+03
2.94294637e-02, 2.50894824e+03
2.96296645e-02, 2.59803784e+03
2.98298653e-02, 2.69872803e+03
3.00300661e-02, 2.81487158e+03
3.02302670e-02, 2.91955029e+03
3.04304678e-02, 3.01623413e+03
3.06306686e-02, 3.12514038e+03
3.08308695e-02, 3.24918433e+03
3.10310703e-02, 3.39236963e+03
3.12312711e-02, 3.47959937e+03
3.14314701e-02, 3.56137598e+03
3.16316709e-02, 3.65030029e+03
3.18318717e-02, 3.74751514e+03
3.20320725e-02, 3.85428418e+03
3.22322734e-02, 3.97286938e+03
3.24324742e-02, 4.10509766e+03
3.26326750e-02, 4.25413477e+03
3.28328758e-02, 4.42400977e+03
3.30330767e-02, 4.61939551e+03
3.32332775e-02, 4.83830762e+03
3.34334783e-02, 5.09844580e+03
3.36336792e-02, 5.23338330e+03
3.38338800e-02, 5.33932813e+03
3.40340808e-02, 5.45318164e+03
3.42342816e-02, 5.57601172e+03
3.44344825e-02, 5.70910352e+03
3.46346833e-02, 5.85402295e+03
3.48348841e-02, 6.01269482e+03
3.50350849e-02, 6.18751563e+03
3.52352858e-02, 6.38152832e+03
3.54354866e-02, 6.59865186e+03
3.56356874e-02, 6.84404883e+03
3.58358882e-02, 7.12252686e+03
3.60360891e-02, 7.42116602e+03
3.62362899e-02, 7.76879443e+03
3.64364907e-02, 8.18103271e+03
3.66366915e-02, 8.37369922e+03
3.68368924e-02, 8.52666211e+03
3.70370932e-02, 8.68987305e+03
3.72372940e-02, 8.86456641e+03
3.74374948e-02, 9.05220898e+03
3.76376957e-02, 9.25452734e+03
3.78378965e-02, 9.47361426e+03
3.80380973e-02, 9.69401660e+03
3.82382981e-02, 9.85146191e+03
3.84384990e-02, 1.00182344e+04
3.86386998e-02, 1.01953262e+04
3.88389006e-02, 1.03838809e+04
3.90391015e-02, 1.05852363e+04
3.92393023e-02, 1.08009502e+04
3.94395031e-02, 1.10322676e+04
3.96397039e-02, 1.12832393e+04
3.98399048e-02, 1.15546787e+04
4.00401056e-02, 1.18504395e+04
4.02403064e-02, 1.21745137e+04
4.04405072e-02, 1.25318955e+04
4.06407081e-02, 1.29289131e+04
4.08409089e-02, 1.33737549e+04
4.10411097e-02, 1.38772412e+04
4.12413105e-02, 1.44539971e+04
4.14415114e-02, 1.51244385e+04
4.16417122e-02, 1.58287451e+04
4.18419130e-02, 1.61272471e+04
4.20421138e-02, 1.64464336e+04
4.22423147e-02, 1.64418203e+04
4.24425155e-02, 1.64200195e+04
